,url,hotel_name,address,rating,rating_amount,city
0,https://www.booking.com/hotel/fr/la-fra-c-gate-collioure.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9jb2xsaW91cmVIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArDcgLcGwAIB0gIkMjAyNzkwMzMtM2RlOC00ZmI3LWIzYTQtYWUxNzY0M2JmNGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-04-02&checkout=2024-04-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=035751180efb0488&srepoch=1725967921&from_sustainable_property_sr=1&from=searchresults,La Frégate,"
24 Boulevard Camille Pelletan, 66190 Collioure, France
",8.4,1489,Collioure
1,https://www.booking.com/hotel/fr/madeloc.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9jb2xsaW91cmVIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArDcgLcGwAIB0gIkMjAyNzkwMzMtM2RlOC00ZmI3LWIzYTQtYWUxNzY0M2JmNGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-04-02&checkout=2024-04-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=035751180efb0488&srepoch=1725967921&from_sustainable_property_sr=1&from=searchresults,Le Madeloc Hôtel & Spa,"
24 Rue Romain Rolland, 66190 Collioure, France
",9.0,931,Collioure
2,https://www.booking.com/hotel/fr/residence-port-d-39-avall.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9jb2xsaW91cmVIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArDcgLcGwAIB0gIkMjAyNzkwMzMtM2RlOC00ZmI3LWIzYTQtYWUxNzY0M2JmNGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-04-02&checkout=2024-04-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=035751180efb0488&srepoch=1725967921&from_sustainable_property_sr=1&from=searchresults,"Apartment Olive & Kin, Collioure","
Apt 82,  Residence du Port D'Avall Rue de Coma Cheric, 66190 Collioure, France
",9.1,49,Collioure
3,https://www.booking.com/hotel/fr/les-roches-brunes-collioure.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9jb2xsaW91cmVIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArDcgLcGwAIB0gIkMjAyNzkwMzMtM2RlOC00ZmI3LWIzYTQtYWUxNzY0M2JmNGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-04-02&checkout=2024-04-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=035751180efb0488&srepoch=1725967921&from_sustainable_property_sr=1&from=searchresults,Les Roches Brunes,"
Route de Port-Vendres, 66190 Collioure, France
",9.1,933,Collioure
4,https://www.booking.com/hotel/fr/lesmasdescitronniers.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9jb2xsaW91cmVIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArDcgLcGwAIB0gIkMjAyNzkwMzMtM2RlOC00ZmI3LWIzYTQtYWUxNzY0M2JmNGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-04-02&checkout=2024-04-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=035751180efb0488&srepoch=1725967921&from=searchresults,Le Mas des Citronniers,"
22 Avenue de La Republique, 66190 Collioure, France
",8.3,1450,Collioure
5,https://www.booking.com/hotel/fr/la-chambre-de-salome.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9jb2xsaW91cmVIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArDcgLcGwAIB0gIkMjAyNzkwMzMtM2RlOC00ZmI3LWIzYTQtYWUxNzY0M2JmNGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-04-02&checkout=2024-04-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=035751180efb0488&srepoch=1725967921&from=searchresults,La Chambre De Salome,"
23  Ter Chemin De Consolation, 66190 Collioure, France
",8.8,786,Collioure
6,https://www.booking.com/hotel/fr/app-art-centre-plage-parking-gratuit.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9jb2xsaW91cmVIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArDcgLcGwAIB0gIkMjAyNzkwMzMtM2RlOC00ZmI3LWIzYTQtYWUxNzY0M2JmNGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-04-02&checkout=2024-04-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=035751180efb0488&srepoch=1725967921&from_sustainable_property_sr=1&from=searchresults,APP' ART CENTRE PLAGE + PARKING GRATUIT,"
13 Rue du Coma-Cheric, 66190 Collioure, France
",8.9,101,Collioure
7,https://www.booking.com/hotel/fr/appart-central-collioure.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9jb2xsaW91cmVIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArDcgLcGwAIB0gIkMjAyNzkwMzMtM2RlOC00ZmI3LWIzYTQtYWUxNzY0M2JmNGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-04-02&checkout=2024-04-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=035751180efb0488&srepoch=1725967921&from_sustainable_property_sr=1&from=searchresults,appart central et son parking privatif gratuit,"
32 bis impasse du jardin baretge, 66190 Collioure, France
",9.0,129,Collioure
8,https://www.booking.com/hotel/fr/saphir-collioure1.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9jb2xsaW91cmVIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArDcgLcGwAIB0gIkMjAyNzkwMzMtM2RlOC00ZmI3LWIzYTQtYWUxNzY0M2JmNGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-04-02&checkout=2024-04-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=035751180efb0488&srepoch=1725967921&from=searchresults,SAPHIR - Vue Mer et Montagne - WIFI FIBRE- PISCINE et GARAGE Privé,"
4 Julien Py, 66190 Collioure, France
",9.1,34,Collioure
9,https://www.booking.com/hotel/fr/chambre-d-39-hotes-les-jasmins.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9jb2xsaW91cmVIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArDcgLcGwAIB0gIkMjAyNzkwMzMtM2RlOC00ZmI3LWIzYTQtYWUxNzY0M2JmNGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-04-02&checkout=2024-04-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=035751180efb0488&srepoch=1725967921&from_sustainable_property_sr=1&from=searchresults,Les Jasmins,"
11 impasse de la galère, 66190 Collioure, France
",8.4,534,Collioure
